variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.32	0			0.000175239	-0.000907663	0.000924233	-79.068	-0.0489619	0.00904089	0.049782	169.536	0.0129958	0.000470163	0.0130044	2.076	-1.72723e-11
0.322	1			8.52351e-05	-0.00088549	0.000889543	-84.498	-0.0489619	0.00902945	0.0497859	169.548	0.01297	0.000466349	0.0129786	2.058	-2.321953e-11
0.324	2			1.08481e-05	-0.000863675	0.000863675	-89.28	-0.0489733	0.00902563	0.0497935	169.554	0.0129471	0.000466349	0.0129557	2.064	-1.609962e-11
0.326	3			-2.3842e-05	-0.00085545	0.000855569	-91.596	-0.0489771	0.00902182	0.0497973	169.56	0.0128804	0.000471117	0.012889	2.1	-1.911506e-11
0.328	4			-6.24661e-05	-0.00084639	0.000848535	-94.218	-0.048981	0.00901419	0.0498011	169.566	0.0128098	0.0004797	0.0128193	2.148	-1.756544e-11
0.33	5			-0.000114084	-0.000834469	0.000842098	-97.776	-0.0489886	0.00901419	0.0498049	169.572	0.0127278	0.000491146	0.0127373	2.208	-1.840313e-11
0.332	6			-0.000139357	-0.000828508	0.000839952	-99.546	-0.0489848	0.00901419	0.0498049	169.566	0.0126429	0.00050259	0.0126525	2.274	-1.894755e-11
0.334	7			-0.000151278	-0.000823859	0.000837449	-100.404	-0.0489886	0.00901037	0.0498049	169.572	0.0125752	0.000512127	0.0125857	2.334	-1.919888e-11
0.336	8			-0.000171305	-0.000819091	0.000836734	-101.808	-0.0489886	0.00901037	0.0498087	169.572	0.012518	0.000519756	0.0125285	2.376	-2.053912e-11
0.338	9			-0.000184418	-0.000815276	0.00083578	-102.738	-0.0489924	0.00900275	0.0498087	169.584	0.0124522	0.000527386	0.0124636	2.43	-2.045534e-11
0.34	10			-0.000191689	-0.000812892	0.000835065	-103.266	-0.0489924	0.00900275	0.0498087	169.584	0.012394	0.000532154	0.0124055	2.46	-1.790051e-11
