variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


0.24	0			0.0159093	-0.00407794	0.0164224	-14.37	-0.0619509	0.0115967	0.0630231	169.392	0.0189439	-0.000425341	0.0189477	-1.284	-1.894757e-11
0.242	1			0.0171357	-0.00436595	0.0176812	-14.292	-0.0617678	0.0116997	0.0628629	169.272	0.0203458	-0.000709537	0.0203592	-1.992	-2.066471e-11
0.244	2			0.0184213	-0.00467494	0.0190049	-14.238	-0.0614016	0.0117951	0.0625234	169.122	0.0220891	-0.00107384	0.0221158	-2.784	-2.246562e-11
0.246	3			0.0197469	-0.00501445	0.0203725	-14.244	-0.0609667	0.0118828	0.0621111	168.972	0.0238096	-0.00144006	0.0238534	-3.462	-2.246562e-11
0.248	4			0.0210611	-0.00534824	0.0217305	-14.244	-0.060364	0.0119172	0.0615275	168.828	0.0254308	-0.00179673	0.0254956	-4.038	-1.555513e-11
0.25	5			0.0219709	-0.00558284	0.022669	-14.256	-0.0598032	0.011921	0.0609744	168.726	0.0266477	-0.0020733	0.0267278	-4.446	-2.636068e-11
0.252	6			0.022772	-0.00580791	0.0235006	-14.304	-0.0589182	0.0118676	0.060097	168.606	0.027939	-0.00236894	0.0280381	-4.848	-1.794237e-11
0.254	7			0.0230294	-0.00589755	0.0237733	-14.364	-0.0578959	0.0117493	0.0590708	168.522	0.0288583	-0.00258638	0.0289727	-5.118	-1.693722e-11
0.256	8			0.0228387	-0.00587848	0.0235826	-14.436	-0.0567935	0.0115929	0.0579607	168.462	0.0293905	-0.00270845	0.0295144	-5.262	-2.062281e-11
0.258	9			0.0220624	-0.00570491	0.0227872	-14.496	-0.0557177	0.0113793	0.0568621	168.45	0.0294458	-0.00273134	0.0295736	-5.298	-2.472724e-11
0.26	10			0.020918	-0.00545123	0.0216161	-14.604	-0.0545924	0.0111428	0.0557177	168.462	0.0290738	-0.00264932	0.029194	-5.202	-2.715643e-11
