variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	smu1 meas	


12.0	0			-0.000195504	-0.000796679	0.000820164	-103.788	-0.0490038	0.00898367	0.0498164	169.608	0.0113536	0.000683788	0.0113745	3.45	-1.982698e-11
11.99	1			-0.000197888	-0.000793461	0.00081766	-104.004	-0.0490077	0.00898367	0.0498202	169.608	0.0112401	0.000701908	0.011262	3.576	-1.970135e-11
11.98	2			-0.000197888	-0.000792626	0.000816945	-104.01	-0.049	0.00898367	0.0498126	169.608	0.0110627	0.000726704	0.0110865	3.762	-2.133473e-11
11.97	3			-0.000198365	-0.000790838	0.000815276	-104.076	-0.0490038	0.00897986	0.0498164	169.614	0.0107785	0.000770573	0.0108052	4.092	-1.815172e-11
11.96	4			-0.00020063	-0.00078905	0.000814084	-104.268	-0.0490038	0.00897604	0.0498164	169.614	0.0106021	0.000795368	0.0106326	4.296	-2.058084e-11
11.95	5			-0.000195623	-0.000787977	0.0008117	-103.938	-0.0490038	0.00897604	0.0498164	169.614	0.010438	0.000823025	0.0104704	4.512	-2.133469e-11
11.94	6			-0.000197888	-0.000783328	0.000807766	-104.178	-0.0490038	0.00897604	0.0498164	169.62	0.0103226	0.000839237	0.010357	4.65	-2.125094e-11
11.93	7			-0.000193358	-0.000780586	0.00080407	-103.908	-0.0490077	0.00897604	0.0498202	169.614	0.0101081	0.000871662	0.0101452	4.932	-2.326127e-11
11.92	8			-0.000195027	-0.000781301	0.000805143	-104.01	-0.0490077	0.00897604	0.0498202	169.62	0.00999171	0.000890736	0.0100318	5.1	-2.225612e-11
11.91	9			-0.000195623	-0.000777844	0.000801925	-104.118	-0.0490077	0.00897223	0.0498164	169.626	0.00980383	0.000918392	0.00984675	5.352	-1.840296e-11
11.9	10			-0.000193239	-0.000778798	0.000802282	-103.932	-0.0490077	0.00897223	0.0498164	169.626	0.00963503	0.000943188	0.00968081	5.592	-1.974319e-11
11.89	11			-0.000196815	-0.000776175	0.000800613	-104.226	-0.0490115	0.00897223	0.0498202	169.626	0.00949198	0.000965122	0.00954062	5.808	-1.957567e-11
11.88	12			-0.000191332	-0.000775937	0.000799064	-103.854	-0.0490115	0.00896841	0.0498202	169.626	0.00936514	0.000983246	0.00941664	5.994	-2.024577e-11
11.87	13			-0.000193001	-0.000774268	0.000797752	-103.992	-0.0490115	0.0089646	0.0498202	169.632	0.00917727	0.00101186	0.00923258	6.294	-2.087402e-11
11.86	14			-0.000193478	-0.000771645	0.000795368	-104.07	-0.0490115	0.00896078	0.0498202	169.632	0.00902849	0.00103379	0.00908762	6.534	-2.024577e-11
11.85	15			-0.000187875	-0.000769857	0.000792269	-103.716	-0.0490115	0.00896078	0.0498202	169.632	0.00892836	0.00104905	0.00898939	6.702	-2.108341e-11
11.84	16			-0.000193358	-0.000767712	0.000791434	-104.13	-0.0490153	0.00895315	0.0498202	169.644	0.0088225	0.00106526	0.0088864	6.882	-2.120904e-11
11.83	17			-0.000191093	-0.000767235	0.0007906	-103.98	-0.0490153	0.00895697	0.049824	169.638	0.00868326	0.00108529	0.00875098	7.128	-1.534562e-11
11.82	18			-0.000189663	-0.000766639	0.000789646	-103.896	-0.0490153	0.00895697	0.0498278	169.638	0.00852877	0.00111008	0.00860029	7.422	-2.012013e-11
11.81	19			-0.000186325	-0.000764731	0.000787023	-103.692	-0.0490153	0.00894934	0.049824	169.65	0.00840765	0.00112534	0.00848299	7.626	-2.309374e-11
11.8	20			-0.000191928	-0.000762824	0.000786547	-104.124	-0.0490115	0.00894934	0.0498164	169.644	0.0082894	0.00114442	0.00836855	7.866	-2.087399e-11
11.79	21			-0.000184775	-0.000761155	0.000783209	-103.644	-0.0490153	0.00894552	0.049824	169.656	0.00819021	0.00115777	0.00827128	8.052	-2.280058e-11
11.78	22			-0.000189305	-0.000759605	0.000782732	-103.986	-0.0490153	0.00894552	0.049824	169.656	0.00808531	0.00117589	0.00817114	8.274	-2.024576e-11
11.77	23			-0.000188352	-0.000759128	0.000782017	-103.932	-0.0490229	0.0089379	0.0498316	169.662	0.00798994	0.00118829	0.00807863	8.46	-2.162786e-11
11.76	24			-0.000186683	-0.000759248	0.000781659	-103.812	-0.0490191	0.00893027	0.049824	169.674	0.00785071	0.00120831	0.00794417	8.754	-1.664392e-11
11.75	25			-0.000187636	-0.00075746	0.000780109	-103.914	-0.0490229	0.00892645	0.0498278	169.674	0.00772002	0.00123025	0.00781733	9.054	-1.886368e-11
11.74	26			-0.000185967	-0.000756267	0.000778679	-103.812	-0.0490229	0.00892264	0.0498278	169.686	0.00760081	0.00124837	0.00770286	9.33	-1.961754e-11
11.73	27			-0.000189305	-0.000755195	0.00077844	-104.07	-0.0490267	0.00890356	0.0498278	169.704	0.0074816	0.00126458	0.00758746	9.594	-2.112531e-11
11.72	28			-0.000186325	-0.000753764	0.000776414	-103.878	-0.0490344	0.00889593	0.0498316	169.716	0.00734141	0.00128556	0.00745299	9.936	-2.053893e-11
11.71	29			-0.000185491	-0.000753645	0.000775937	-103.824	-0.0490344	0.00888449	0.0498316	169.728	0.00719836	0.00130749	0.00731662	10.296	-1.806793e-11
11.7	30			-0.000185491	-0.000752095	0.000774506	-103.848	-0.0490382	0.00887305	0.0498316	169.74	0.00708488	0.00132466	0.00720695	10.596	-2.229797e-11
11.69	31			-0.000185133	-0.000750188	0.000772599	-103.866	-0.049042	0.00886542	0.0498316	169.752	0.00698951	0.00133992	0.00711635	10.854	-1.986882e-11
11.68	32			-0.000185014	-0.000749592	0.000772003	-103.86	-0.049042	0.00884634	0.0498316	169.776	0.0068312	0.00136376	0.00696567	11.298	-2.150221e-11
11.67	33			-0.000185967	-0.00074983	0.000772361	-103.92	-0.0490496	0.00882345	0.0498316	169.8	0.0067139	0.00137902	0.00685409	11.616	-2.288433e-11
11.66	34			-0.000184895	-0.000746969	0.00076938	-103.902	-0.0490534	0.00880438	0.0498316	169.824	0.00658229	0.00139905	0.00673011	12.006	-2.137659e-11
11.65	35			-0.00018406	-0.00074828	0.000770453	-103.812	-0.0490611	0.00878912	0.0498354	169.842	0.00647357	0.00141621	0.00662616	12.342	-2.133464e-11
11.64	36			-0.000180603	-0.000746492	0.00076795	-103.602	-0.0490687	0.00876623	0.0498431	169.872	0.00632671	0.0014391	0.00648883	12.822	-2.095775e-11
11.63	37			-0.000182272	-0.000744466	0.0007664	-103.752	-0.0490725	0.00874716	0.0498431	169.89	0.00621226	0.00145722	0.00638011	13.2	-2.263301e-11
11.62	38			-0.000181795	-0.000743393	0.000765208	-103.74	-0.0490763	0.00872809	0.0498431	169.914	0.00610736	0.00147057	0.00628284	13.542	-2.162786e-11
