variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	lockin2 x	lockin2 y	lockin2 r	lockin2 phi	lockin3 x	lockin3 y	lockin3 r	lockin3 phi	lockin4 x	lockin4 y	lockin4 r	lockin4 phi	smu1 meas	


0.0	0			1.52999e-05	5.21543e-08	1.52999e-05	0.198	1.7237e-05	1.61865e-06	1.73134e-05	5.37	2.88525e-06	6.51929e-07	2.9579e-06	12.744	1.21259e-06	-1.2843e-06	1.76579e-06	-46.638	-1.819345e-11
0.002	1			1.5542e-05	-3.31553e-07	1.55458e-05	-1.218	1.59686e-05	1.50689e-06	1.60394e-05	5.394	1.44365e-05	1.59257e-07	1.44365e-05	0.636	1.56715e-05	-2.83775e-06	1.59257e-05	-10.26	-2.552276e-11
0.004	2			1.59034e-05	-7.45062e-07	1.5922e-05	-2.676	1.69688e-05	1.40817e-06	1.70266e-05	4.746	2.40506e-05	6.98496e-07	2.40599e-05	1.668	2.36259e-05	-2.63193e-06	2.37731e-05	-6.354	-2.016187e-11
0.006	3			1.51732e-05	-4.35861e-07	1.51806e-05	-1.638	1.59034e-05	1.72668e-06	1.59965e-05	6.204	3.57649e-05	-1.41562e-07	3.57649e-05	-0.222	3.54222e-05	-3.17955e-06	3.55637e-05	-5.13	-1.89054e-11
0.008	4			1.49347e-05	-2.30969e-07	1.49385e-05	-0.882	1.60096e-05	2.19421e-06	1.61604e-05	7.806	4.58101e-05	-5.21544e-07	4.58139e-05	-0.654	4.33421e-05	-3.84825e-06	4.35116e-05	-5.07	-2.233976e-11
0.01	5			1.55271e-05	1.08034e-07	1.55271e-05	0.408	1.50111e-05	3.0622e-06	1.53222e-05	11.532	5.70456e-05	-9.83484e-07	5.70568e-05	-0.984	5.81148e-05	-4.56351e-06	5.82973e-05	-4.488	-2.334491e-11
0.012	6			1.46703e-05	-7.33886e-07	1.46889e-05	-2.862	1.5162e-05	2.71389e-06	1.54042e-05	10.152	6.60201e-05	-8.67996e-07	6.60275e-05	-0.75	6.5357e-05	-4.84291e-06	6.55358e-05	-4.236	-1.852848e-11
0.014	7			1.42493e-05	-7.9349e-07	1.42716e-05	-3.186	1.58717e-05	2.16813e-06	1.60189e-05	7.776	7.8809e-05	-2.3693e-06	7.88462e-05	-1.722	7.74194e-05	-5.22661e-06	7.75945e-05	-3.858	-2.213034e-11
0.016	8			1.44505e-05	-8.94073e-07	1.44765e-05	-3.534	1.58233e-05	3.46826e-06	1.61995e-05	12.366	8.68929e-05	-2.29479e-06	8.69264e-05	-1.512	8.66731e-05	-6.02755e-06	8.68817e-05	-3.978	-1.953369e-11
0.018	9			1.38917e-05	-8.71722e-07	1.39177e-05	-3.582	1.60803e-05	2.84427e-06	1.63299e-05	10.032	9.90708e-05	-2.17558e-06	9.91006e-05	-1.254	9.82513e-05	-5.66992e-06	9.84152e-05	-3.3	-2.175338e-11
0.02	10			1.4823e-05	-8.34469e-07	1.48491e-05	-3.216	1.57637e-05	2.06941e-06	1.58978e-05	7.482	0.000108682	-2.79398e-06	0.000108712	-1.47	0.000106991	-6.80241e-06	0.000107207	-3.636	-1.848666e-11
0.022	11			1.42232e-05	-1.06544e-06	1.42642e-05	-4.272	1.56128e-05	2.56488e-06	1.58233e-05	9.33	0.00011877	-2.68222e-06	0.000118807	-1.29	0.000117027	-7.53257e-06	0.000117265	-3.678	-1.756529e-11
0.024	12			1.48975e-05	-1.68011e-06	1.49906e-05	-6.42	1.54079e-05	2.02844e-06	1.5542e-05	7.506	0.000127875	-2.98025e-06	0.000127912	-1.332	0.000126355	-8.59058e-06	0.000126653	-3.888	-2.187904e-11
0.026	13			1.41822e-05	-1.68011e-06	1.42791e-05	-6.744	1.60375e-05	3.2168e-06	1.6356e-05	11.346	0.000138187	-3.71785e-06	0.000138232	-1.536	0.000137166	-8.95566e-06	0.000137457	-3.738	-1.769088e-11
0.028	14			1.46218e-05	-1.06544e-06	1.46591e-05	-4.158	1.5175e-05	2.26313e-06	1.53427e-05	8.49	0.000148461	-4.82801e-06	0.000148543	-1.86	0.000147366	-8.8737e-06	0.000147634	-3.444	-2.066448e-11
0.03	15			1.42679e-05	-1.73972e-06	1.4376e-05	-6.936	1.58028e-05	1.60933e-06	1.58848e-05	5.814	0.000160054	-5.19308e-06	0.000160144	-1.854	0.000157365	-9.05996e-06	0.000157625	-3.294	-1.773273e-11
0.032	16			1.55756e-05	-1.28151e-06	1.56277e-05	-4.698	1.71402e-05	2.95976e-06	1.73935e-05	9.798	0.00017044	-4.79075e-06	0.000170507	-1.608	0.000168846	-1.0267e-05	0.000169166	-3.48	-1.731391e-11
0.034	17			1.4715e-05	-1.41189e-06	1.4782e-05	-5.472	1.79169e-05	3.70482e-06	1.8295e-05	11.682	0.000182034	-5.81148e-06	0.000182123	-1.824	0.000179366	-1.07065e-05	0.000179679	-3.414	-1.651816e-11
0.036	18			1.50987e-05	-1.14367e-06	1.51396e-05	-4.332	1.73171e-05	2.72693e-06	1.75295e-05	8.952	0.00019312	-6.79496e-06	0.000193209	-2.004	0.000190915	-1.16826e-05	0.000191272	-3.498	-1.919863e-11
0.038	19			1.44728e-05	-1.08034e-06	1.45138e-05	-4.266	1.74717e-05	3.3565e-06	1.77921e-05	10.872	0.000203342	-7.06318e-06	0.000203461	-1.986	0.000200034	-1.12355e-05	0.000200332	-3.216	-1.727204e-11
0.04	20			1.53073e-05	-1.07662e-06	1.53446e-05	-4.008	1.81777e-05	3.05848e-06	1.84329e-05	9.558	0.000214548	-6.94397e-06	0.000214667	-1.848	0.000210763	-1.16528e-05	0.000211091	-3.162	-1.593185e-11
0.042	21			1.49571e-05	-9.16425e-07	1.49832e-05	-3.492	1.7902e-05	3.41611e-06	1.82242e-05	10.806	0.0002248	-6.88437e-06	0.000224919	-1.752	0.000220896	-1.18018e-05	0.000221194	-3.054	-2.099957e-11
0.044	22			1.51136e-05	-1.77325e-06	1.52179e-05	-6.678	1.74997e-05	2.80143e-06	1.77232e-05	9.102	0.000235439	-7.83807e-06	0.000235558	-1.902	0.000232429	-1.2517e-05	0.000232757	-3.084	-2.280048e-11
0.046	23			1.50204e-05	-2.15696e-06	1.51732e-05	-8.154	1.94443e-05	2.31156e-06	1.95821e-05	6.786	0.00024748	-7.45061e-06	0.0002476	-1.722	0.000242711	-1.4335e-05	0.000243128	-3.378	-1.723019e-11
0.048	24			1.45957e-05	-1.2368e-06	1.46479e-05	-4.842	1.82447e-05	2.90202e-06	1.84757e-05	9.042	0.000258269	-9.00036e-06	0.000258418	-1.992	0.00025511	-1.44542e-05	0.000255497	-3.24	-1.92405e-11
0.05	25			1.50875e-05	-1.89245e-06	1.5203e-05	-7.14	1.92785e-05	3.25778e-06	1.95523e-05	9.594	0.000269027	-8.34471e-06	0.000269176	-1.77	0.000263782	-1.48118e-05	0.000264199	-3.21	-1.852849e-11
